Sector: ,SCC: ,SCC Descriptions: ,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
np_oilgas,2310021400,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well dehydrators""",3.410568791650443e+07,2.0287782446450354e+06,201575.11553614342,5.3227180538217284e+07,62.76355669341158,21.954609694056415,1.2275355231840377,19.71619407644695,48.12921858775685,15.711022785639567,0.8336373936219921,13.479042470047913,7.013979164282002,3.332991636268824,0.19170240411902217,2.5943072868344834,0.6598809146386618,0.21602556685168195,0.0059847657641154605,0.23683102304071352,1.3240857461838658,0.5327412025168602,0.04847548309075517,0.36707695708125454,1.4496585093151237,0.5288463443390958,0.02516478430482473,0.40763805322010443,4.1867337965893086,1.6329821638708895,0.12257069276307316,2.6312982770936504,9.37766231299125,3.4999933254611446,0.1740644918200499,3.122624086864438,39.32922915984279,13.562833474194905,0.8051679362815353,12.096515249531247
np_oilgas,2310021251,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Lateral Compressors 4 Cycle Lean Burn""",9.505266755077863e+06,112031.2842646424,6585.1980505313595,1.1117229892808e+06,16.220653275278938,1.3435336403821807,0.0371330236763545,0.5663555659100262,12.674025453975235,0.9740457837402036,0.025497039426510756,0.44708053769925016,1.5727694620957315,0.17693458215686164,0.005812938903623258,0.052878537204337724,0.1766075553773734,0.010494238837725567,0.0001832952947125279,0.006503734330695139,0.34654139276654755,0.042706362387565894,0.0014289147751668668,0.011257916070716663,0.39171865744257817,0.03086362347371648,0.0007864512334609358,0.013532293031677798,1.0589907701222703,0.10848905108342996,0.0034243840720554935,0.035102548203313585,2.348120610618907,0.19250295957793603,0.005129392995132211,0.08365851287435648,10.27591787701516,0.8700150569834171,0.024571204005430242,0.3555920218108233
np_oilgas,2310023601,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Initial Completions""",0,0,0,8.504216788648952e+06,0,0,0,2.5312810962279255,0,0,0,1.9004950908778768,0,0,0,0.12822726237464796,0,0,0,0.012987995571716749,0,0,0,0.04635316534946112,0,0,0,0.05069431262753925,0,0,0,0.39252326306830154,0,0,0,0.325384416033512,0,0,0,1.6767663585331538
np_oilgas,2310000230,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Workover Rigs""",5.147003647455002e+06,127980.0499294389,48382.98447304399,267891.27981956373,10.780588747065735,3.143033476817995,0.4138873036329225,0.1630135904863502,8.181185542092392,2.1092351439487547,0.2555072738375021,0.1282227592011615,0.9741987884861814,0.395234007861074,0.057803539368267175,0.013071081475964018,0.019898375626436718,0.00477164780630723,0.0007203124956884435,0.0003478527113827734,0.39813181569214007,0.16934131214144674,0.026350190339049694,0.004895039905543595,0.18544104637030392,0.05843336905006891,0.008122785850876701,0.0027685450682262518,1.0217331812316597,0.40601799832809116,0.06538320191068873,0.013708312224668182,1.3001574687707542,0.396440272269485,0.052573304012459326,0.01971511675930195,7.380502311076089,2.1630640140695605,0.28757133640469934,0.11069939969424407
np_oilgas,2310023030,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Tank Truck/Railcar Loading: Condensate""",,,,12021.457610506499,0,0,0,0.005901707933999395,0,0,0,0.004651352085641031,0,0,0,0.0004559848199278905,0,0,0,0.00018699763240656461,0,0,0,7.837976472817784e-05,0,0,0,0.0002308868353206867,0,0,0,0.00029810681378417635,0,0,0,0.0008915497123807906,0,0,0,0.0036433010127732354
np_oilgas,2310021101,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines < 50 HP""",113418.12293697841,5260.557944846256,84.2185534205854,23451.160872490593,0.12708122166637892,0.044171434518816693,0.00026447476109206405,0.011709560931852119,0.07765802742157828,0.021030964369509225,0.00015728948281902734,0.005104035099222282,0.01344082293433478,0.005389600978828799,3.404183230638615e-05,0.0011022702493412796,0.0012456906482847972,0.0002593704195041288,2.2628473962474418e-06,6.0450763742320125e-05,0.003307153517108109,0.001526593395564599,7.340093468645555e-06,0.00032153856581296203,0.0025627994934250588,0.0007215163642859704,5.5105752536655775e-06,0.0001605146781140135,0.028866727507885933,0.015243388941089396,5.8029929667117793e-05,0.004960751554918566,0.02068610925281145,0.008000347405336044,4.266450480521677e-05,0.0022451071915074693,0.07608245587338935,0.025756860819344148,0.0001601870700408758,0.0066136050564945485
np_oilgas,2310121401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Pneumatic Pumps""",112308.595815,,,9.944569218642195e+07,0.09822801814591431,0,0,41.65070766818486,0.08069068174146915,0,0,28.555323471035127,0.006468469862235751,0,0,4.673103509625516,0.0010167265895680952,0,0,0.40822796361704244,0.0017801531327682235,0,0,0.794921421418993,0.0016611805445049352,0,0,0.8372744538742424,0.006610806262842418,0,0,6.38185685127631,0.012754297353467163,0,0,6.7164734740082475,0.06446279614755017,0,0,25.26848668056658
np_oilgas,2310121700,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Completion: All Processes""",941041.4551857378,30328.101735000004,1.4904451892222217e+06,1.1929386222068701e+07,0.891644296030902,0.11439010518362504,9.255828719936563,6.0672013887177805,0.7234147895261085,0.08664579582919449,6.08442351166549,3.9916006953287613,0.06736984366634836,0.01124380449378672,1.8059741345919134,0.6866492357403764,0.009097366074271064,0.0013799481745951235,0.02181251518546604,0.06675141526900887,0.01623459383780329,0.00303171177305524,0.3806943660139629,0.12356582909207749,0.015891494165990214,0.002151083180508695,0.18972410385002692,0.11240566278605625,0.0596362087783997,0.009937761706746477,0.7732001020243184,1.086228554763628,0.11869370061891987,0.015374899752649515,1.1682579875342396,0.9883228390862853,0.5804118907465328,0.07553373048799411,6.3422636932923595,3.670098095230087
np_oilgas,2310021010,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Storage Tanks: Condensate""",541309.2054270202,0,23820.863729999997,3.217614645419842e+08,0.6621697645795198,0,0.04961320046962259,176.8178254399356,0.5180103505828519,0,0.03680026039337195,91.48712290528272,0.06164708821390762,0,0.005761741810158132,23.276445205769903,0.00827288701576644,0,0.0002887281792474326,1.3937740755274841,0.01150334170439239,0,0.0015770613055326242,4.453446034028336,0.01521692874104169,0,0.0009214899980065289,3.005337578807357,0.04751916856605514,0,0.004263918801674371,53.201699423751194,0.09463024836469741,0,0.006692603761915978,31.739694702113944,0.4189677701316766,0,0.03299582099553713,102.98359633959087
np_oilgas,2310022420,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Dehydrator""",0,0,0,602.2097058003001,0,0,0,0.0005979668022045209,0,0,0,0.00025351835654936744,0,0,0,0.00011657577081662699,0,0,0,1.7006175764872882e-06,0,0,0,1.996429451026215e-05,0,0,0,7.687840001305302e-06,0,0,0,0.00019851992234399865,0,0,0,0.00010437177266757671,0,0,0,0.00034742011629468653
