SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NH3 to Black,Deaths from NH3 to Native,Deaths from NH3 to Asian,Deaths from NH3 to Other,Deaths from NH3 to Latino,Deaths from NH3 to Poverty,Deaths from NH3 to TwoXPov
2805010200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - turkeys;Manure handling and storage""",8097126.22794965,48.250509082,34.1559438528,7.8944886266,0.235835371,1.4207498358,0.9664048832,3.577086547,6.9277533986,31.3831673465
2805009100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - broilers;Confinement""",153985591.949378,973.9528439128,649.533559348,204.8787684179,5.3959890871,21.5646968741,17.7698322602,74.8099978099,162.370531668,588.9258390251
2805018000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle composite;Not Elsewhere Classified""",125457635.772808,784.6681140999,557.6817150581,102.6204413358,3.2049045761,28.8906557836,15.4788463153,76.7915516213,106.2967879949,525.260993802
2805040000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Sheep and Lambs Waste Emissions;Total""",18783899.8094008,88.6693573117,59.2344409359,10.5673732167,0.5031771584,3.7382712666,1.9275581624,12.6985366093,12.5076256001,57.9794115416
2801700013,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Diammonium Phosphate""",22937395.3876337,181.1372853462,131.0956533875,25.2699946768,0.5468730604,5.7399044926,3.4260224035,15.0588374517,25.7593968703,118.7384481765
2805047300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - deep-pit house operations (unspecified animal age);Land application of manure""",47522422.3444687,336.6096436382,242.5338958149,43.7217907024,1.0619030491,12.215906679,6.4155594319,30.660588202,45.640699004,225.4902138345
2805003100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on pasture/range;Confinement""",132069219.349722,710.3129249017,494.4561946723,103.377231904,4.389318423,18.4972722769,14.2575552625,75.3353524811,108.3294444387,446.9037414868
2805047100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - deep-pit house operations (unspecified animal age);Confinement""",107627127.066133,761.0454763967,548.7089314802,98.6155515325,2.3597936595,27.6422962631,14.465659598,69.2532444128,103.1180338479,509.9755434948
2805010100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - turkeys;Confinement""",47345146.464217,291.0174062848,207.199671815,46.9004119193,1.3530774057,8.5139926284,5.8081064163,21.2421463207,41.7347482423,189.3565092337
2805021200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Manure handling and storage""",53456076.9269526,306.5750407097,219.2475409305,39.12563409,1.3326782969,11.2977590868,6.1610913674,29.4103371629,41.4348751124,205.4232805965
2805008100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with wet manure management systems;Confinement""",4900370.4870303,31.2269998437,20.5067015665,6.3489483952,0.1586033296,0.7276524369,0.5766438243,2.9084502614,5.1558591744,18.9314708731
2805002000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle production composite;Not Elsewhere Classified""",322839434.098788,1643.1025129023,1183.7486094502,214.8604496829,8.0754198161,48.0806339708,32.515294763,155.8221061491,235.5493208315,1064.935113674
2801700003,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Nitrogen Solutions""",264298475.122715,1822.1411935322,1295.7172510282,259.820266254,6.3710241807,59.1356758567,35.2652033432,165.831773897,259.0502074943,1194.4374836219
2805001300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Land application of manure""",134931270.848035,584.2859596754,289.185438324,43.7689952826,2.9211881603,45.6459021149,14.8942885923,187.8701472911,89.3169099845,366.7763501463
2805019200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - flush dairy;Manure handling and storage""",43708357.9711144,152.6926227282,106.3704775965,17.3247576876,1.3690066929,4.3789438762,3.2802759496,19.9691609802,22.5181289846,97.481438473
2805009300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - broilers;Land application of manure""",123560920.043081,786.4948007596,526.575655966,166.7602494214,4.3682312784,16.8080655544,14.2671385678,57.7154598771,131.2250723857,475.4169971589
2801700015,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Liquid Ammonium Polyphosphate""",7703570.56502901,42.786483872,31.2521740377,5.4339440054,0.1785504521,1.3751719748,0.8426750664,3.7039683576,5.953298895,28.2483780544
2801700004,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Urea""",434924846.073197,1980.8660656604,1424.3418523457,283.6830067502,10.3007409383,59.2153188834,37.7410012443,165.584145788,290.0425029275,1279.480464053
2801700005,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Nitrate""",5991305.22925038,37.8138906221,26.6175840751,6.2795730955,0.1747345673,0.8322979978,0.7028237733,3.206877121,6.0610718647,23.256669524
2805001100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Confinement""",35248471.6232592,171.0059598317,122.9204929176,21.2329102065,0.7896843797,5.4609641864,3.3572274362,17.2446807974,23.7896656334,112.4978870279
2805045000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Goats Waste Emissions;Not Elsewhere Classified""",18921407.9697905,115.628368373,78.7753074162,17.3027374947,0.6888378419,3.3416065743,2.3799105502,13.1399685321,17.3575126208,73.3735009851
2805023300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - drylot/pasture dairy;Land application of manure""",36774864.2670144,241.7968321873,171.3853201867,32.4076780473,0.8988215299,9.2654393014,4.7716622616,23.0679110213,32.3520964561,162.8510724151
2801700008,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Other Straight Nitrogen""",42894.617230917,0.0497175282,0.0383295921,0.0031524321,0.0007951352,0.0015743223,0.0012725998,0.0045934468,0.0069921514,0.0324441239
2805039100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - operations with lagoons (unspecified animal age);Confinement""",81194748.5279387,454.4739469128,316.2243598372,69.7896043083,2.50500105,13.9933213311,8.9569735811,43.0046872108,67.3771750167,292.1519846654
2805023100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - drylot/pasture dairy;Confinement""",29408642.4368561,190.9507403428,135.2477177546,26.102770826,0.7132741829,7.1835233113,3.7590218272,17.9444325699,25.794209465,128.0950477956
2801700009,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Phosphates (see also subsets (-13""",50437.620283329,0.0584603304,0.0450698304,0.0037067855,0.0009349593,0.0018511659,0.0014963858,0.0054012035,0.0082217179,0.0381494063
2801700001,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Anhydrous Ammonia""",203269490.18377,1242.762796851,826.3175552362,142.9702305254,4.4002618642,56.987715078,26.3004960053,185.786538908,176.9933666786,812.0071291103
2805007100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with dry manure management systems;Confinement""",114185302.161577,1005.6801972725,697.0839677054,149.4808477944,2.9614054286,37.5607333393,19.5473035193,99.0459398285,140.1275423048,666.557905686
2801700006,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Sulfate""",24018467.8755427,127.2105463875,89.0024981255,18.4839388314,0.5450026221,4.1214043864,2.4630623299,12.5946401344,18.3794384931,82.7601572023
2805030007,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry Waste Emissions;Ducks""",2904366.8923007,34.1248490502,23.5239306262,5.1990964582,0.0747869668,1.4076453437,0.6654872234,3.2539024578,4.6773265981,23.0523525707
2805030000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry Waste Emissions;Not Elsewhere Classified (see also 28-05-007""",32848245.2384288,253.1485766968,170.8590223945,40.043058537,0.9180501189,8.9042914032,4.9044933147,27.5196609885,37.722130859,162.5949677586
2801700002,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Aqueous Ammonia""",956357.125478192,1.3829224897,1.0514521857,0.11146082,0.0175119727,0.0435806065,0.0322993947,0.1266175102,0.1922071685,0.9068135418
2805023200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - drylot/pasture dairy;Manure handling and storage""",580248.437528839,3.8866828217,2.7378137282,0.5943325004,0.0133033991,0.1352183174,0.07474592,0.3312689593,0.5464620248,2.5640935077
2805009200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - broilers;Manure handling and storage""",27512379.644572,174.8996792672,117.104587999,37.0795028661,0.9709787648,3.7372942534,3.1729056716,12.8344096917,29.1755046634,105.7325281884
2805021300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Land application of manure""",58193161.0515603,423.702693939,299.5563387307,56.9236172856,1.413547958,16.8849949762,8.3541543245,40.5700409259,55.7374085676,287.5211677224
2805022100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - deep pit dairy;Confinement""",3768803.18597941,25.6318620267,18.3909940468,3.3363680193,0.0982963882,0.9660377296,0.5123537309,2.3278121327,3.4338610332,17.2632033958
2805010300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - turkeys;Land application of manure""",40472180.3816525,241.1692514159,170.7288314806,39.449051548,1.1785508711,7.1025048238,4.8302614379,17.8800514267,34.6244766976,156.8663629537
2805021100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Confinement""",31214368.4855183,217.7973064387,154.8708294734,28.8874611488,0.7687749784,8.4727049689,4.3052072932,20.4923287267,28.8940681136,147.2820498834
