SCC: ,NOX (kg),PM25-PRI (kg),SO2 (kg),VOC (kg),SCC_descriptions,total[Emissions],total[NOx],total[PRI],total[SO2],total[VOC],total[NH3],tot_deathsE,deaths_whiteE,death_blackE,death_nativeE,death_asianE,death_otherE,death_latinoE,death_povertyE,death_twoxpovE,tot_deathsnox,deaths_whitenox,death_blacknox,death_nativenox,death_asiannox,death_othernox,death_latinonox,death_povertynox,death_twoxpovnox,tot_deathspri,deaths_whitepri,death_blackpri,death_nativepri,death_asianpri,death_otherpri,death_latinopri,death_povertypri,death_twoxpovpri,tot_deathsvoc,deaths_whitevoc,death_blackvoc,death_nativevoc,death_asianvoc,death_othervoc,death_latinovoc,death_povertyvoc,death_twoxpovvoc,tot_deathsso2,deaths_whiteso2,death_blackso2,death_nativeso2,death_asianso2,death_otherso2,death_latinoso2,death_povertyso2,death_twoxpovso2,tot_deathsnh3,deaths_whitenh3,death_blacknh3,death_nativenh3,death_asiannh3,death_othernh3,death_latinonh3,death_povertynh3,death_twoxpovnh3
2310023300,0,0,0,14006521.088439,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Pneumatic Devices""",585.5235692938,39.4899852527,309.6144803406,96.1138504269,12.8514116219,127.4538416518,312.4612711037,214.0627144448,60.7161115042,1.9550197147,5.9061371989,5.739966587,24.0813218582,50.8502087082,191.3209984033,22.3455459419,16.6435747521,3.0429579927,0.2094386332,0.3260944451,0.4424782917,1.6810018338,3.5049473073,13.7102526629,155.062711386,102.3997703862,32.2153304743,1.0258849162,2.8888987844,2.8428680019,13.6899589198,25.7768175022,94.2326374727,55.6051657445,39.4733170106,10.1703784581,0.2776144134,1.1451320097,1.0153597954,3.5233641041,8.775489611,34.49416202,7.0924055213,4.9026823218,1.3663108913,0.0623326478,0.0996785126,0.1313648198,0.5300363324,1.1998233854,4.2314954645,72.2012466511,50.5551149301,13.8734006272,0.3791127236,1.4442366056,1.306004799,4.6433770143,11.5637434342,44.5647599181
2310020000,1397011.05131277,5337.3124342233,1447.494951276,2170323.165558,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas;Total: All Processes""",1552.1142159736,56.3662497474,1117.4443489608,98.5534937902,32.9119129281,246.838210547,287.8022111922,96.2029761556,15.1146529402,0.8835194706,38.2446899687,7.7037439115,129.6526288565,46.0042832967,175.2299346564,11.1678680845,4.3395777437,0.5630314359,0.0425579057,1.2639555764,0.3260908549,4.6326545716,1.7660825195,6.8669758789,206.6687915344,65.9624325042,10.7803985382,0.6066998221,27.6766852682,5.4292248334,96.2133506375,33.7667300232,124.2910599854,18.6342904624,7.195019897,1.1060593821,0.069269808,2.3789257864,0.5218261645,7.3631894365,2.8208329503,11.7092312605,6.0601600607,2.199094611,0.2893419206,0.0212616679,0.7216328339,0.168701535,2.660127493,0.9608404456,3.7118161962,45.0843364329,16.4524526928,2.368452732,0.1433155127,6.1793801353,1.253413284,18.6873221011,6.6610785694,28.5363622276
2310111700,386021.616866488,10328.301225,380003.601451524,27698445.7249034,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Exploration;Oil Well Completion: All Processes""",983.6793077972,59.5478536898,458.0087232778,199.3168032054,24.0882994524,242.7176281718,496.6273495345,317.5911568851,64.0996492031,5.5917067866,11.7761449916,11.5610829039,86.007608497,79.3536101294,300.7353875426,37.3481168206,26.1432012196,3.9876183758,0.5529378315,0.6569344159,0.9368592494,5.0705657128,5.9147471838,22.4101289744,226.8634161129,141.4818582933,29.3123118633,2.535798354,5.5185727405,5.2290660017,42.7858086741,36.5562645493,136.7522475233,100.4861741545,65.7305277801,13.528366529,1.1288439124,2.4385677669,2.404190825,15.2556773212,15.9341773484,61.3689145342,12.8830642665,8.0014483511,1.4571459509,0.1488452601,0.2469162221,0.2794603459,2.7492481213,2.0873739885,7.6208783854,118.854125399,76.1166309241,15.7928649669,1.2224084521,2.911120119,2.7066121424,20.1044887643,18.8297920656,72.4697537948
2310023512,,,,179067.989445953,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives: Flanges""",7.9444733119,0.4033371251,3.9248032337,1.4367819027,0.1829110859,1.9966399644,5.3341086642,3.472417697,1.4154841505,0.0269465124,0.084974474,0.0806511872,0.253634652,0.9590932857,3.1199714672,0.3074538388,0.2148999615,0.0673949676,0.0023598451,0.0038194539,0.0049682948,0.0140113164,0.0554268776,0.1779467763,2.6948594404,1.6909138643,0.7853873077,0.0137092446,0.0421135471,0.0387742109,0.1239612719,0.5010244088,1.5527076137,0.9051494492,0.6056241108,0.2153221886,0.0044246539,0.0160449855,0.0149790874,0.0487544241,0.1540467448,0.5426259688,0.1338827799,0.0886855939,0.0355318744,0.0008070408,0.0016851906,0.0018642628,0.0053088176,0.0252506318,0.0761081215,1.2926643469,0.8722397548,0.311809297,0.0056454904,0.021309997,0.0200643902,0.0615954183,0.2233239778,0.7705295846
2310000230,5147003.647455,127980.049929439,48382.984473044,267891.279819564,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Workover Rigs""",748.1785004827,26.6753024722,324.3065362139,157.3707348074,8.1124092067,231.7135177825,288.1111589902,190.5443667756,37.1015493562,0.4607674255,15.9269385455,5.4209401216,38.6565969233,36.197544218,198.9580015949,11.6709622496,8.8591105872,1.0533399785,0.0217163091,0.429871309,0.2007965018,1.1061275668,1.4080941608,7.9884461147,127.2824557151,85.4589875744,15.8673365831,0.2064243203,6.7339381001,2.3765021867,16.6392670322,16.1007604536,87.468773461,57.3959433198,35.5432215016,8.3184049745,0.0903608707,3.6352842251,1.1181527791,8.6905189949,7.2289278044,39.9720959822,3.6873759569,2.9008907143,0.3010448374,0.0067781418,0.1177106026,0.0622086937,0.2987429696,0.4425510628,2.5142746408,88.0026662817,57.7339124801,11.5530840704,0.1353895287,5.0061671636,1.6620039443,11.9121091393,11.0080691406,60.9653324424
2310023010,156.6886475625,,0,138651.510683569,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Storage Tanks: Condensate""",4.7385961687,0.3335278569,1.9981164324,1.0555265153,0.0795927501,1.271832614,2.9274096226,2.2023410634,0.3521152246,0.044798608,0.0570693634,0.0782188507,0.1928665178,0.4409653974,1.8410652107,0.2449861438,0.1951410921,0.0203163899,0.0050158058,0.0035609736,0.0074678098,0.0134840732,0.0365376875,0.1522531329,1.2587992977,0.9404300533,0.1462294214,0.0255665713,0.0238248744,0.0366529812,0.0860953988,0.1898140917,0.7911511703,0.6182970663,0.4645786669,0.0837724968,0.0042941382,0.0130873849,0.0136056287,0.0389587515,0.093292644,0.3902924007,0.059788223,0.0460884963,0.0050142879,0.0019660175,0.0007893205,0.0021040255,0.0038260755,0.0091025082,0.0368465392,0.7455282743,0.5560945691,0.0967819309,0.0079555614,0.0158066779,0.018387859,0.0505016772,0.1122168709,0.4705154008
2310021506,0,0,0,34068150.6417844,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives:  Other""",1495.5973606051,81.5015526635,698.944981806,292.7289108863,32.3902544385,390.0316608106,723.9187936151,503.0055312064,101.2337844814,5.8177124686,19.0028143879,16.300315715,78.5586359253,108.1062382021,458.1222989832,48.3741316943,36.1298751565,5.1326210084,0.5282546735,0.9173815501,1.1286728437,4.5373265023,7.2412229602,30.0954656494,331.0230322714,226.9625192826,44.3577356692,2.8662153529,8.641123929,7.5090414546,40.6863968097,50.466642873,207.8345879747,140.4922200204,96.675279486,22.5341037398,0.9972836025,3.9684904846,3.1580339305,13.1590288999,20.3930321758,90.1510535486,16.5010863932,11.5839116627,1.7040440856,0.1743505879,0.320729332,0.3615515349,2.3564991988,2.633966041,10.0425281772,187.2580031281,131.4628504177,27.4732857426,1.2488589608,5.14830224,4.1360884185,17.7886175191,27.3309182628,119.8284727183
2310023606,,,,13755.283281,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Mud Degassing""",0.5489028463,0.0245532035,0.2385971561,0.1170520735,0.0108315181,0.1578688951,0.3386227094,0.2466255023,0.061657603,0.0013620673,0.0063526288,0.0059920445,0.0166328637,0.0562522058,0.2034639545,0.0176223453,0.0132687495,0.0028869759,0.00009912,0.0002431916,0.0002806226,0.0008436858,0.0031179914,0.0102091699,0.1511831505,0.1115312599,0.026637944,0.0005859074,0.0027145334,0.0026006761,0.0071128297,0.0258536931,0.0896322944,0.066064658,0.0449077736,0.0142005809,0.0003160554,0.0014603016,0.001266227,0.0039137198,0.0102952437,0.040930204,0.0078717729,0.0062941512,0.0010718551,2.63008605302148E-05,0.000096161,0.0001147363,0.0002685684,0.0014624835,0.0044431851,0.0958801567,0.070623043,0.0168601756,0.0003346824,0.0018384352,0.0017297746,0.0044940461,0.0155226647,0.0582487699
2310023202,2890542.4682778,34082.80437225,2006.6558779974,369933.666314943,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;CBM Fired 4Cycle Lean Burn Compressor Engines 50 To 499 HP""",120.6777259337,6.7413934902,58.4995499068,22.4277787637,2.7527688353,30.2562349377,80.1455713697,53.169728212,19.0568708756,0.7328659128,1.2867774641,1.4150903012,4.4842387344,14.1404965363,47.2019488451,5.0354058726,3.6065942561,0.933533293,0.0590612242,0.0644680446,0.1037070118,0.2680420488,0.8837547978,2.9386076892,39.6617597389,25.3682446663,10.3591046622,0.4230666618,0.6227553342,0.677794301,2.2107942072,7.2314822374,23.0353180199,14.1030835857,9.6492173915,3.0399544462,0.0902758573,0.2514016527,0.2579875433,0.8142467086,2.361294029,8.5004988813,1.9854384646,1.3258687525,0.4636013924,0.0290950071,0.0247558418,0.034741518,0.107375957,0.3675629021,1.1363394222,19.3439295602,13.2109357916,4.2546338702,0.131298727,0.3231866682,0.3406904691,1.0831840471,3.2930895425,11.5825347804
2310012522,0,0,0,0.0081641225,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Flanges: Oil/Water""",3.99549448740614E-07,1.74742951581187E-08,1.84231085279219E-07,8.69040892953398E-08,1.00588229165973E-08,1.00881156091336E-07,1.51116871198297E-07,6.95836391622676E-08,1.7662744263746E-08,6.7418118954259E-10,4.0628269022139E-09,2.45734775120091E-09,5.66761316396843E-08,2.58772861260613E-08,8.89388256409785E-08,8.25832178765E-09,4.46430589567657E-09,8.70658641106034E-10,5.7227332612238E-11,1.81519715782503E-10,1.51350452480143E-10,2.53325972265434E-09,1.32924199369343E-09,4.93593722997308E-09,0.00000007,3.11998507947523E-08,8.92278820570187E-09,2.86487082752474E-10,1.88378605732058E-09,1.10930860032322E-09,2.65973159625793E-08,1.22205583090225E-08,4.08366886157076E-08,0.000000032,1.5170532312246E-08,3.41445704132209E-09,1.61706464967015E-10,9.03988761388504E-10,5.41397275517516E-10,1.18105522721388E-08,5.37072803564894E-09,1.9051575071689E-08,4.1486059981855E-09,1.88336764815579E-09,4.57098065628619E-10,1.29346456454894E-11,9.01096173681959E-11,6.27172682093813E-11,1.64237874054551E-09,7.14105531009512E-10,2.41800319874483E-09,3.66485871165373E-08,1.68228455898559E-08,0.000000004,1.55706306939023E-10,0.000000001,5.91469755854099E-10,1.4087967188847E-08,6.23385735893441E-09,2.16586692387405E-08
