SCC: ,NOX (s),PM25-PRI (s),SO2 (s),VOC (s),deaths
2310022051,4941.432521949,29.369678926200006,54.0333538086,32.4200340576,0.009055902208011191
2310021100,3.568485337937111e+07,2.691295550491405e+06,18616.39251243352,1.934781202295845e+06,80.23932701813582
2310021604,,,,979660.0096499999,0.19089739006469472
2310021303,85422.328750257,359.0037492092999,21.06156193241865,2281.6650214014003,0.15286372329154937
2310012020,0,0,0,999.7266696944998,0.0005098340413957865
2310023300,0,0,0,1.4006521088439034e+07,7.092405521271023
2310022105,4001.4884547132,254.26157524604997,341.17442509920005,479.71380345299997,0.012616633040626376
2310023509,0,0,0,1.15377080494314e+07,3.591363569887946
2310012515,0,0,0,0.32939699562704994,1.6796615261177593e-07
2310011500,,,,2.40446662695e+06,0.4596002911204273
2310021400,3.410568791650447e+07,2.028778244645036e+06,201575.1155361435,5.3227180538217254e+07,105.68108399123507
2310021251,9.505266755077878e+06,112031.28426464245,6585.198050531361,1.1117229892808e+06,18.168327216221254
2310021401,0,0,0,0,0
2310020800,0,0,0,1.7108300857493083e+06,0.5466087308318656
2310023602,0,0,0,4.038293881751476e+06,1.220191654519796
2310010100,2.3258391264450975e+07,1.7197856404763944e+06,29290.586013091437,1.0720262231394222e+06,59.058128222096585
2310021402,845543.3033752311,54392.16056258655,3174.7302745780585,27755.478693616493,3.703241369402747
2310021010,541309.20542702,0,23820.863729999997,3.217614645419843e+08,177.96883789274804
2310022010,0,0,0,142.05527361165,0.00014105436319075576
2310112401,0,0,0,171.2194660635,8.731737910389181e-05
2310121700,941041.4551857378,30328.101735000004,1.490445189222222e+06,1.1929386222068695e+07,16.329656150060565
2310023601,0,0,0,8.50421678864895e+06,2.5317012798565997
2310002305,259299.91230808292,0.6894606,0.043316072520854995,9837.275645107731,0.27792871319069196
2310021309,0,0,0,0,0
2310012516,0,0,0,0.11660105050469997,5.945016993641752e-08
2310011600,25683.7136964,47.482062899999995,0,1041.629817,0.019521404985610002
2310011201,0,0,0,3.514808992058317e+07,12.849493611788475
2310111401,7408.979895,,,2.8125995379644524e+07,11.080113099610578
2310022000,69818.90623338,285.11481009015,127.3034022489,1701.7237771435498,0.12312646648410454
2310012000,122518.35517604998,1042.1259564765,38.0047737798,4541.2894570605,0.1356022778848974
2310021506,0,0,0,3.40681506417844e+07,16.501086393226338
2310023606,,,,13755.283280999998,0.007871772943113153
2310023511,,,,850168.7463846201,0.6170211857142828
2310020000,1.3970110513127698e+06,5337.3124342232995,1447.494951276,2.1703231655579987e+06,7.8209168103774065
2310111100,,,,4.431523511833862e+07,17.364270888560284
2310022090,713.7151163036999,13.500302879575498,4.260971396729699,39.06526397295,0.0014666125970892573
2310021209,0,0,0,0,0
2310010800,0,0,0,1.4538002499e+06,0.271637079554326
2310020700,,,,7.4455947887849985e+06,1.1977253858668016
2310022502,0,0,0,0.6614664584737501,6.567936447843845e-07
2310022506,0,0,0,37.165319211900005,3.690344693234123e-05
