Sector: ,SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NOX to TotalPop,Deaths from PM25-PRI to TotalPop,Deaths from SO2 to TotalPop,Deaths from VOC to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NOX to WhiteNoLat,Deaths from PM25-PRI to WhiteNoLat,Deaths from SO2 to WhiteNoLat,Deaths from VOC to WhiteNoLat,Deaths from NH3 to Black,Deaths from NOX to Black,Deaths from PM25-PRI to Black,Deaths from SO2 to Black,Deaths from VOC to Black,Deaths from NH3 to Native,Deaths from NOX to Native,Deaths from PM25-PRI to Native,Deaths from SO2 to Native,Deaths from VOC to Native,Deaths from NH3 to Asian,Deaths from NOX to Asian,Deaths from PM25-PRI to Asian,Deaths from SO2 to Asian,Deaths from VOC to Asian,Deaths from NH3 to Other,Deaths from NOX to Other,Deaths from PM25-PRI to Other,Deaths from SO2 to Other,Deaths from VOC to Other,Deaths from NH3 to Latino,Deaths from NOX to Latino,Deaths from PM25-PRI to Latino,Deaths from SO2 to Latino,Deaths from VOC to Latino,Deaths from NH3 to Poverty,Deaths from NOX to Poverty,Deaths from PM25-PRI to Poverty,Deaths from SO2 to Poverty,Deaths from VOC to Poverty,Deaths from NH3 to TwoXPov,Deaths from NOX to TwoXPov,Deaths from PM25-PRI to TwoXPov,Deaths from SO2 to TwoXPov,Deaths from VOC to TwoXPov
ptegu,0030799998,"""Industrial Processes;Pulp and Paper and Wood Products;Other Not Classified;Other Not Classified""",,,0.06803887499999998,,1723.6514999999997,0,0,2.092850413214897e-07,0,0.00019804287768651445,0,0,1.71782987219605e-07,0,0.0001661562569018523,0,0,4.793569945964658e-09,0,4.253677035776126e-06,0,0,3.2011438924395336e-09,0,3.4627686622932023e-06,0,0,4.261479940516133e-09,0,2.967840402902477e-06,0,0,6.312026326761797e-09,0,5.605863758654827e-06,0,0,1.8933833984667188e-08,0,1.5596470956338805e-05,0,0,3.419929677967903e-08,0,3.194563933160208e-05,0,0,1.250073852201958e-07,0,0.00011804490408721671
ptegu,0010101301,"""External Combustion Boilers;Electric Generation;Liquid Waste;Specify Waste Material in Comments""",287.4869265,,1343.5319131499998,2.2094490674999996,4.0823325,0.0029991581007425953,0,0.016849924386581994,1.1824949962388814e-05,1.4904578172634956e-06,0.0018653372232041933,0,0.012641984500427889,8.810603579654927e-06,1.1906599360007054e-06,0.0007493928470378241,0,0.0018676657369617023,1.8900873864578244e-06,1.3177476868493867e-07,1.5872182779516643e-05,0,6.155763374194875e-05,5.6403162236843095e-08,7.604460680516574e-09,7.626027914381111e-05,0,0.000579170387765107,1.9999956772096187e-07,4.070713353273121e-08,5.963811703792328e-05,0,0.00031330399201300724,1.9654628086925727e-07,2.6191723467237785e-08,0.0002326574390249736,0,0.0013862421699121733,6.713100142222995e-07,9.351979770192589e-08,0.00045495925076589547,0,0.00235043138527858,1.994965057595491e-06,1.9127633463168188e-07,0.0019047418796849732,0,0.011167717213590203,7.055180648696675e-06,1.0110084400314737e-06
ptegu,0020200101,"""Internal Combustion Engines;Industrial;Distillate Oil (Diesel);Turbine""",204.842373,21608.19415575,313.4008280482409,387.70769042325,175.38995245150497,0.0005794893087839827,0.039421783527082616,0.0032263150776570787,0.0007241827790869901,9.32804321873634e-05,0.00047551571008549976,0.01646024094215194,0.0019568788965012678,0.0003930407849177951,5.699135644979821e-05,2.9288356764277996e-05,0.01613664073414514,0.0007735536611099184,0.00020408909024946824,2.4372092083736686e-05,6.638274073372023e-07,0.0001512519835781194,1.7594317967279677e-05,2.00479519960836e-06,6.734972993309808e-07,1.4802982011581327e-05,0.0012048624131774982,8.970773998418618e-05,2.9294138223056713e-05,2.175074952808705e-06,8.69448809893982e-06,0.0009559664735547113,8.232463333762163e-05,1.7261806129810274e-05,2.666790084660517e-06,5.052394558248007e-05,0.004512821174674379,0.00030625585805461766,7.849216533559953e-05,6.401622315260154e-06,4.883745705497071e-05,0.007751892975814659,0.00044865112127359257,9.881748156027158e-05,1.1944801767598127e-05,0.0004419117906149058,0.023260879305376462,0.002102682838757442,0.0004855004793078575,6.051266533292165e-05
ptegu,0030502006,"""Industrial Processes;Mineral Products;Stone Quarrying - Processing (See also 305320);Miscellaneous Operations: Screen/Convey/Handling""",,,40.85002345455,,,0,0,0.0006666913413845436,0,0,0,0,0.0005181717422613433,0,0,0,0,8.14627042460887e-05,0,0,0,0,1.2589605340348763e-06,0,0,0,0,1.6862094448758712e-05,0,0,0,0,1.2872863526828666e-05,0,0,0,0,3.60629773528076e-05,0,0,0,0,9.425200159992473e-05,0,0,0,0,0.0004325499174393586,0,0
ptegu,0010201101,"""External Combustion Boilers;Industrial;Bagasse;All Boiler Sizes""",182026.67025,725976.0073419749,757936.12491294,136549.48619999998,124846.305465612,0.8226803275297256,0.21034724613177452,4.311395918536955,0.3032141391952817,0.04855014194955797,0.535665780584703,0.11653791412112847,2.590684566783766,0.1997988446028912,0.025861686276620853,0.0821026201344178,0.018120853549868778,0.44038053169175084,0.028577504512616935,0.004887174161293911,0.0019058128895398372,0.0007158236149987046,0.011335927043797081,0.0006662622340376081,0.0001433095622832726,0.014074347052658503,0.003073704495802511,0.06927475520691674,0.005482527019347034,0.0006408482810233104,0.011778519919206082,0.002678764472953927,0.058052397116889864,0.004484832657912508,0.0005794443195773764,0.17715324801377094,0.06922018595436479,1.1416677486228934,0.06420416832395952,0.01643767946396986,0.12414303080866211,0.041412385786007505,0.7322160576325794,0.04539247767028455,0.00965106273946883,0.5086750843160465,0.1166922119516621,2.5447522141542365,0.18947447227640057,0.026527629035536352
ptegu,0031000401,"""Industrial Processes;Oil and Gas Production;Process Heaters;Distillate Oil (No. 2)""",,28.9050006255,0.8720134375499999,1.90077937125,18.35235255,0,5.865563819712982e-05,1.0395484537134053e-05,1.0111632217398345e-05,1.1309445203786007e-05,0,4.336360558217466e-05,7.256103894316631e-06,7.3470998066914684e-06,7.971648252664756e-06,0,1.1217625717510116e-05,2.352324804368344e-06,1.9179332529039656e-06,2.6167350538835336e-06,0,2.0381641077351783e-07,2.9266429352359916e-08,3.099814742922084e-08,3.2749549716565293e-08,0,6.248703408064104e-07,1.410953802578009e-07,1.6330077051253712e-07,1.0639490158891247e-07,0,9.076562439671508e-07,1.6788568181545848e-07,1.6979399220338446e-07,1.6957224500886226e-07,0,2.3380640222306727e-06,4.4880836363024995e-07,4.825062477522649e-07,4.123452430074237e-07,0,1.0805308312129264e-05,1.9142647271437776e-06,1.7263855488765577e-06,2.2053567362677597e-06,0,3.334392964290817e-05,5.974507287348896e-06,6.024347891735609e-06,6.258064783222792e-06
ptegu,0039000399,"""Industrial Processes;In-process Fuel Use;Lignite;General""",,,19307.03412786,,,0,0,0.05544553170610345,0,0,0,0,0.044223722895169314,0,0,0,0,0.004085809859170447,0,0,0,0,0.0008328714125714745,0,0,0,0,0.001648288959928901,0,0,0,0,0.0009998484125556275,0,0,0,0,0.00365499006346053,0,0,0,0,0.006840360970862125,0,0,0,0,0.0380070510328624,0,0
ptegu,0010500210,"""External Combustion Boilers;Space Heaters;Commercial/Institutional;Liquified Petroleum Gas (LPG)""",,0.11793404999999998,,,0.00907185,0,1.228480418013209e-07,0,0,4.653999300605926e-09,0,1.0721008489373029e-07,0,0,4.116234154658804e-09,0,4.003274695116669e-09,0,0,1.3612649559288767e-10,0,2.537368288454641e-10,0,0,1.0238182260337687e-11,0,3.08840951171585e-09,0,0,1.0423747947425472e-10,0,2.0543671854516592e-09,0,0,7.349281621023692e-11,0,6.238168597886986e-09,0,0,2.136701678903637e-10,0,1.2249217924671657e-08,0,0,4.5602172228442563e-10,0,8.926368896666865e-08,0,0,3.39335545011843e-09
ptegu,0010500106,"""External Combustion Boilers;Space Heaters;Industrial;Natural Gas""",144342.93109799997,201816.78855502498,85934.16015950416,6580.863497595149,63753.95960278432,1.374619799661799,0.38263399470545134,1.7088983341924475,0.045963180190644284,0.059525311498126725,0.9582581189688035,0.2663265680169024,1.1207220783681708,0.031062213016312464,0.04003153070684465,0.24552464472682614,0.04257982552979628,0.2379517166379199,0.009422144276142843,0.006151859693699165,0.004479588363548458,0.0015352922711378578,0.004884247485149548,0.00016416690370648585,0.00018586673419975695,0.028529222550358883,0.005724497056194705,0.030339994028912194,0.0010537780838633906,0.0007848449063774729,0.02218541739568171,0.005766609033553644,0.026239842434978962,0.0007608986731895801,0.000875970672256672,0.11564280574026069,0.060701199348816265,0.28876043974288484,0.0034999792395493767,0.01149523805877447,0.22798452706197145,0.07085301891057363,0.324751914775612,0.007608310080583456,0.01183675697584693,0.8265573953067017,0.21525107948712008,0.9569228243325362,0.027857288825050248,0.03212773200991309
ptegu,0010100226,"""External Combustion Boilers;Electric Generation;Bituminous/Subbituminous Coal;Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)""",1.0018534723941302e+06,1.960211047335149e+08,1.3509620613741789e+07,4.228864604580751e+08,3.072553531044899e+06,5.607270862206097,413.2048362142384,241.29031007901688,2184.2780062183087,1.73401448881002,3.9555023686559103,305.2328366055471,143.89808768832143,1553.6608192653368,1.3307106190988915,0.7833968279372643,47.5354973789336,38.79552807780655,331.3635949404267,0.1929543788305341,0.04068380523878595,4.715295161096865,1.4137589400631922,9.062817787451094,0.018894607113637663,0.14582552647396765,10.31178840989704,11.594767633025159,65.98348732699837,0.03188277423068454,0.12566829703183766,9.604257524111588,4.8908844365772275,43.00520388861907,0.03845950330220694,0.5561940362592863,35.80516147407058,40.69728372703073,181.20208455632147,0.12111260788261184,0.8571068816768888,62.88273733030717,40.901305649081934,327.1462371897286,0.24743657940299313,3.524832382339885,259.08885664104037,146.57579015490515,1398.652784893923,1.120129881950014
